Company Name,ISIN
MICROSOFT CORP,US5949181045
BHP BILLITON LIMITED,AU000000BHP4
VALE SA,BRVALEACNOR0
CEMEX SAB-CPO,MXP225611567
Royal Dutch Shell plc,GB00B03MLX29
PPL CORP,US69351T1060
E.ON SE,DE000ENAG999
AMERICAN ELECTRIC POWER,US0255371017
KYUSHU ELECTRIC POWER CO INC,JP3246400000
TOKYO ELECTRIC POWER COMPANY,JP3585800000
SOUTHERN CO/THE,US8425871071
