,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
124710,FN-IB-000.Ca,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Ca,Number
124711,FN-IB-000.Cb,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Cb,Reporting currency
124712,FN-IB-000.Cc,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Cc,Number
124713,FN-IB-000.Cd,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Cd,Reporting currency
124714,FN-IB-000.Ce,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Ce,Number
124715,FN-IB-000.Cf,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Cf,Reporting currency
124716,FN-IB-000.Cg,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Cg,Number
124717,FN-IB-000.Ch,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Ch,Reporting currency
124718,FN-IB-000.Ci,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Ci,Number
124719,FN-IB-000.Cj,,FN,FN-IB,FN-IB-000.C,,Quantitative,"Number, Reporting currency",FN-IB-000.Cj,Reporting currency
124720,FN-IB-330a.1a,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1a,Percentage (%)
124721,FN-IB-330a.1aa,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1aa,Percentage (%)
124722,FN-IB-330a.1b,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1b,Percentage (%)
124723,FN-IB-330a.1bb,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1bb,Percentage (%)
124724,FN-IB-330a.1c,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1c,Percentage (%)
124725,FN-IB-330a.1cc,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1cc,Percentage (%)
124726,FN-IB-330a.1d,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1d,Percentage (%)
124727,FN-IB-330a.1dd,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1dd,Percentage (%)
124728,FN-IB-330a.1e,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1e,Percentage (%)
124729,FN-IB-330a.1ee,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1ee,Percentage (%)
124730,FN-IB-330a.1f,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1f,Percentage (%)
124731,FN-IB-330a.1ff,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1ff,Percentage (%)
124732,FN-IB-330a.1g,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1g,Percentage (%)
124733,FN-IB-330a.1gg,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1gg,Percentage (%)
124734,FN-IB-330a.1h,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1h,Percentage (%)
124735,FN-IB-330a.1hh,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1hh,Percentage (%)
124736,FN-IB-330a.1i,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1i,Percentage (%)
124737,FN-IB-330a.1ii,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1ii,Percentage (%)
124738,FN-IB-330a.1j,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1j,Percentage (%)
124739,FN-IB-330a.1jj,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1jj,Percentage (%)
124740,FN-IB-330a.1k,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1k,Percentage (%)
124741,FN-IB-330a.1l,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1l,Percentage (%)
124742,FN-IB-330a.1m,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1m,Percentage (%)
124743,FN-IB-330a.1n,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1n,Percentage (%)
124744,FN-IB-330a.1o,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1o,Percentage (%)
124745,FN-IB-330a.1p,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1p,Percentage (%)
124746,FN-IB-330a.1q,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1q,Percentage (%)
124747,FN-IB-330a.1r,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1r,Percentage (%)
124748,FN-IB-330a.1s,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1s,Percentage (%)
124749,FN-IB-330a.1t,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1t,Percentage (%)
124750,FN-IB-330a.1u,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1u,Percentage (%)
124751,FN-IB-330a.1v,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1v,Percentage (%)
124752,FN-IB-330a.1w,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1w,Percentage (%)
124753,FN-IB-330a.1x,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1x,Percentage (%)
124754,FN-IB-330a.1y,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1y,Percentage (%)
124755,FN-IB-330a.1z,,FN,FN-IB,FN-IB-330a,FN-IB-330a.1,Quantitative,Percentage (%),FN-IB-330a.1z,Percentage (%)
124756,FN-IB-410a.1a,,FN,FN-IB,FN-IB-410a,FN-IB-410a.1,Quantitative,Reporting currency,FN-IB-410a.1a,Number
124757,FN-IB-410a.1b,,FN,FN-IB,FN-IB-410a,FN-IB-410a.1,Quantitative,Reporting currency,FN-IB-410a.1b,Number
124758,FN-IB-410a.1c,,FN,FN-IB,FN-IB-410a,FN-IB-410a.1,Quantitative,Reporting currency,FN-IB-410a.1c,Number
124759,FN-IB-410a.1d,,FN,FN-IB,FN-IB-410a,FN-IB-410a.1,Quantitative,Reporting currency,FN-IB-410a.1d,Reporting currency
124760,FN-IB-410a.1e,,FN,FN-IB,FN-IB-410a,FN-IB-410a.1,Quantitative,Reporting currency,FN-IB-410a.1e,Reporting currency
124761,FN-IB-410a.1f,,FN,FN-IB,FN-IB-410a,FN-IB-410a.1,Quantitative,Reporting currency,FN-IB-410a.1f,Reporting currency
124762,FN-IB-410a.2a,,FN,FN-IB,FN-IB-410a,FN-IB-410a.2,Quantitative,"Number, Reporting currency",FN-IB-410a.2a,Number
124763,FN-IB-410a.2b,,FN,FN-IB,FN-IB-410a,FN-IB-410a.2,Quantitative,"Number, Reporting currency",FN-IB-410a.2b,Reporting currency
124764,FN-IB-410a.3a,,FN,FN-IB,FN-IB-410a,FN-IB-410a.3,Discussion and Analysis,,FN-IB-410a.3a,
124765,FN-IB-510a.1a,,FN,FN-IB,FN-IB-510a,FN-IB-510a.1,Quantitative,Reporting currency,FN-IB-510a.1a,Reporting currency
124766,FN-IB-510a.1b,,FN,FN-IB,FN-IB-510a,FN-IB-510a.1,Quantitative,Reporting currency,FN-IB-510a.1b,
124767,FN-IB-510a.2a,,FN,FN-IB,FN-IB-510a,FN-IB-510a.2,Discussion and Analysis,,FN-IB-510a.2a,
124768,FN-IB-510b.1a,,FN,FN-IB,FN-IB-510b,FN-IB-510b.1,Quantitative,"Number, Percentage (%)",FN-IB-510b.1a,Number
124769,FN-IB-510b.1b,,FN,FN-IB,FN-IB-510b,FN-IB-510b.1,Quantitative,"Number, Percentage (%)",FN-IB-510b.1b,Percentage (%)
124770,FN-IB-510b.1c,,FN,FN-IB,FN-IB-510b,FN-IB-510b.1,Quantitative,"Number, Percentage (%)",FN-IB-510b.1c,
124771,FN-IB-510b.2a,,FN,FN-IB,FN-IB-510b,FN-IB-510b.2,Quantitative,Number,FN-IB-510b.2a,Number
124772,FN-IB-510b.2b,,FN,FN-IB,FN-IB-510b,FN-IB-510b.2,Quantitative,Number,FN-IB-510b.2b,Number
124773,FN-IB-510b.2c,,FN,FN-IB,FN-IB-510b,FN-IB-510b.2,Quantitative,Number,FN-IB-510b.2c,Number
124774,FN-IB-510b.3a,,FN,FN-IB,FN-IB-510b,FN-IB-510b.3,Quantitative,Reporting currency,FN-IB-510b.3a,Reporting currency
124775,FN-IB-510b.3b,,FN,FN-IB,FN-IB-510b,FN-IB-510b.3,Quantitative,Reporting currency,FN-IB-510b.3b,
124776,FN-IB-510b.4a,,FN,FN-IB,FN-IB-510b,FN-IB-510b.4,Discussion and Analysis,,FN-IB-510b.4a,
124777,FN-IB-550a.1a,,FN,FN-IB,FN-IB-550a,FN-IB-550a.1,Quantitative,Basis points (bps),FN-IB-550a.1a,Basis points (bps)
124778,FN-IB-550a.1b,,FN,FN-IB,FN-IB-550a,FN-IB-550a.1,Quantitative,Basis points (bps),FN-IB-550a.1b,
124779,FN-IB-550a.2a,,FN,FN-IB,FN-IB-550a,FN-IB-550a.2,Discussion and Analysis,,FN-IB-550a.2a,
124780,FN-IB-550b.1a,,FN,FN-IB,FN-IB-550b,FN-IB-550b.1,Quantitative,Percentage (%),FN-IB-550b.1a,Percentage (%)
124781,FN-IB-550b.1b,,FN,FN-IB,FN-IB-550b,FN-IB-550b.1,Quantitative,Percentage (%),FN-IB-550b.1b,
124782,FN-IB-550b.2a,,FN,FN-IB,FN-IB-550b,FN-IB-550b.2,Quantitative,Percentage (%),FN-IB-550b.2a,Percentage (%)
124783,FN-IB-550b.2b,,FN,FN-IB,FN-IB-550b,FN-IB-550b.2,Quantitative,Percentage (%),FN-IB-550b.2b,
124784,FN-IB-550b.3a,,FN,FN-IB,FN-IB-550b,FN-IB-550b.3,Discussion and Analysis,,FN-IB-550b.3a,
126929,EM-IS-000.Aa,,EM,EM-IS,EM-IS-000.A,,Quantitative,"Metric tons (t), Percentage (%)",EM-IS-000.Aa,Metric tons (t)
126930,EM-IS-000.Ab,,EM,EM-IS,EM-IS-000.A,,Quantitative,"Metric tons (t), Percentage (%)",EM-IS-000.Ab,Percentage (%)
126931,EM-IS-000.Ac,,EM,EM-IS,EM-IS-000.A,,Quantitative,"Metric tons (t), Percentage (%)",EM-IS-000.Ac,Percentage (%)
126932,EM-IS-000.Ba,,EM,EM-IS,EM-IS-000.B,,Quantitative,Metric tons (t),EM-IS-000.Ba,Metric tons (t)
126933,EM-IS-000.Ca,,EM,EM-IS,EM-IS-000.C,,Quantitative,Metric tons (t),EM-IS-000.Ca,Metric tons (t)
126934,EM-IS-110a.1a,,EM,EM-IS,EM-IS-110a,EM-IS-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",EM-IS-110a.1a,Metric tons (t) CO₂-e
126935,EM-IS-110a.1b,,EM,EM-IS,EM-IS-110a,EM-IS-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",EM-IS-110a.1b,Percentage (%)
126936,EM-IS-110a.2a,,EM,EM-IS,EM-IS-110a,EM-IS-110a.2,Discussion and Analysis,,EM-IS-110a.2a,
126937,EM-IS-120a.1a,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1a,Metric tons (t)
126938,EM-IS-120a.1b,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1b,Metric tons (t)
126939,EM-IS-120a.1c,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1c,Metric tons (t)
126940,EM-IS-120a.1d,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1d,Metric tons (t)
126941,EM-IS-120a.1e,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1e,Metric tons (t)
126942,EM-IS-120a.1f,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1f,Metric tons (t)
126943,EM-IS-120a.1g,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1g,Metric tons (t)
126944,EM-IS-120a.1h,,EM,EM-IS,EM-IS-120a,EM-IS-120a.1,Quantitative,Metric tons (t),EM-IS-120a.1h,Metric tons (t)
126945,EM-IS-130a.1a,,EM,EM-IS,EM-IS-130a,EM-IS-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",EM-IS-130a.1a,Gigajoules (GJ)
126946,EM-IS-130a.1b,,EM,EM-IS,EM-IS-130a,EM-IS-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",EM-IS-130a.1b,Percentage (%)
126947,EM-IS-130a.2a,,EM,EM-IS,EM-IS-130a,EM-IS-130a.2,Quantitative,"Gigajoules (GJ), Percentage (%)",EM-IS-130a.2a,Gigajoules (GJ)
126948,EM-IS-130a.2b,,EM,EM-IS,EM-IS-130a,EM-IS-130a.2,Quantitative,"Gigajoules (GJ), Percentage (%)",EM-IS-130a.2b,Percentage (%)
126949,EM-IS-130a.2c,,EM,EM-IS,EM-IS-130a,EM-IS-130a.2,Quantitative,"Gigajoules (GJ), Percentage (%)",EM-IS-130a.2c,Percentage (%)
126950,EM-IS-130a.2d,,EM,EM-IS,EM-IS-130a,EM-IS-130a.2,Quantitative,"Gigajoules (GJ), Percentage (%)",EM-IS-130a.2d,Percentage (%)
126951,EM-IS-140a.1a,,EM,EM-IS,EM-IS-140a,EM-IS-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",EM-IS-140a.1a,Thousand cubic meters (m³)
126952,EM-IS-140a.1b,,EM,EM-IS,EM-IS-140a,EM-IS-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",EM-IS-140a.1b,Percentage (%)
126953,EM-IS-140a.1c,,EM,EM-IS,EM-IS-140a,EM-IS-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",EM-IS-140a.1c,Percentage (%)
126954,EM-IS-150a.1a,,EM,EM-IS,EM-IS-150a,EM-IS-150a.1,Quantitative,"Metric tons (t), Percentage (%)",EM-IS-150a.1a,Metric tons (t)
126955,EM-IS-150a.1b,,EM,EM-IS,EM-IS-150a,EM-IS-150a.1,Quantitative,"Metric tons (t), Percentage (%)",EM-IS-150a.1b,Percentage (%)
126956,EM-IS-150a.1c,,EM,EM-IS,EM-IS-150a,EM-IS-150a.1,Quantitative,"Metric tons (t), Percentage (%)",EM-IS-150a.1c,Percentage (%)
126957,EM-IS-320a.1a,,EM,EM-IS,EM-IS-320a,EM-IS-320a.1,Quantitative,Rate,EM-IS-320a.1a,Rate
126958,EM-IS-320a.1b,,EM,EM-IS,EM-IS-320a,EM-IS-320a.1,Quantitative,Rate,EM-IS-320a.1b,Rate
126959,EM-IS-320a.1c,,EM,EM-IS,EM-IS-320a,EM-IS-320a.1,Quantitative,Rate,EM-IS-320a.1c,Rate
126960,EM-IS-320a.1d,,EM,EM-IS,EM-IS-320a,EM-IS-320a.1,Quantitative,Rate,EM-IS-320a.1d,Rate
126961,EM-IS-320a.1e,,EM,EM-IS,EM-IS-320a,EM-IS-320a.1,Quantitative,Rate,EM-IS-320a.1e,Rate
126962,EM-IS-320a.1f,,EM,EM-IS,EM-IS-320a,EM-IS-320a.1,Quantitative,Rate,EM-IS-320a.1f,Rate
126963,EM-IS-430a.1a,,EM,EM-IS,EM-IS-430a,EM-IS-430a.1,Discussion and Analysis,,EM-IS-430a.1a,
131741,SV-LF-000.Aa,,SV,SV-LF,SV-LF-000.A,,Quantitative,Number,SV-LF-000.Aa,Number
131742,SV-LF-000.Ba,,SV,SV-LF,SV-LF-000.B,,Quantitative,Number,SV-LF-000.Ba,Number
131743,SV-LF-130a.1a,,SV,SV-LF,SV-LF-130a,SV-LF-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",SV-LF-130a.1a,Gigajoules (GJ)
131744,SV-LF-130a.1b,,SV,SV-LF,SV-LF-130a,SV-LF-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",SV-LF-130a.1b,Percentage (%)
131745,SV-LF-130a.1c,,SV,SV-LF,SV-LF-130a,SV-LF-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",SV-LF-130a.1c,Percentage (%)
131746,SV-LF-250a.1a,,SV,SV-LF,SV-LF-250a,SV-LF-250a.1,Quantitative,Rate,SV-LF-250a.1a,Rate
131747,SV-LF-250a.1b,,SV,SV-LF,SV-LF-250a,SV-LF-250a.1,Quantitative,Rate,SV-LF-250a.1b,Rate
131748,SV-LF-250a.1c,,SV,SV-LF,SV-LF-250a,SV-LF-250a.1,Quantitative,Rate,SV-LF-250a.1c,
131749,SV-LF-250a.2a,,SV,SV-LF,SV-LF-250a,SV-LF-250a.2,Quantitative,Percentage (%),SV-LF-250a.2a,Percentage (%)
131750,SV-LF-250a.2b,,SV,SV-LF,SV-LF-250a,SV-LF-250a.2,Quantitative,Percentage (%),SV-LF-250a.2b,Percentage (%)
131751,SV-LF-320a.1a,,SV,SV-LF,SV-LF-320a,SV-LF-320a.1,Quantitative,Rate,SV-LF-320a.1a,Rate
131752,SV-LF-320a.1b,,SV,SV-LF,SV-LF-320a,SV-LF-320a.1,Quantitative,Rate,SV-LF-320a.1b,Rate
131753,SV-LF-320a.1c,,SV,SV-LF,SV-LF-320a,SV-LF-320a.1,Quantitative,Rate,SV-LF-320a.1c,Rate
131754,SV-LF-320a.1d,,SV,SV-LF,SV-LF-320a,SV-LF-320a.1,Quantitative,Rate,SV-LF-320a.1d,Rate
133647,HC-MC-000.Aa,,HC,HC-MC,HC-MC-000.A,,Quantitative,Number,HC-MC-000.Aa,Number
133648,HC-MC-230a.1a,,HC,HC-MC,HC-MC-230a,HC-MC-230a.1,Discussion and Analysis,,HC-MC-230a.1a,
133649,HC-MC-230a.2a,,HC,HC-MC,HC-MC-230a,HC-MC-230a.2,Quantitative,"Number, Percentage (%)",HC-MC-230a.2a,Number
133650,HC-MC-230a.2b,,HC,HC-MC,HC-MC-230a,HC-MC-230a.2,Quantitative,"Number, Percentage (%)",HC-MC-230a.2b,Percentage (%)
133651,HC-MC-230a.2c,,HC,HC-MC,HC-MC-230a,HC-MC-230a.2,Quantitative,"Number, Percentage (%)",HC-MC-230a.2c,Percentage (%)
133652,HC-MC-230a.2d,,HC,HC-MC,HC-MC-230a,HC-MC-230a.2,Quantitative,"Number, Percentage (%)",HC-MC-230a.2d,Number
133653,HC-MC-230a.2e,,HC,HC-MC,HC-MC-230a,HC-MC-230a.2,Quantitative,"Number, Percentage (%)",HC-MC-230a.2e,Number
133654,HC-MC-230a.2f,,HC,HC-MC,HC-MC-230a,HC-MC-230a.2,Quantitative,"Number, Percentage (%)",HC-MC-230a.2f,
133655,HC-MC-230a.3a,,HC,HC-MC,HC-MC-230a,HC-MC-230a.3,Quantitative,Reporting currency,HC-MC-230a.3a,Reporting currency
133656,HC-MC-230a.3b,,HC,HC-MC,HC-MC-230a,HC-MC-230a.3,Quantitative,Reporting currency,HC-MC-230a.3b,
133657,HC-MC-240a.1a,,HC,HC-MC,HC-MC-240a,HC-MC-240a.1,Quantitative,Ratio,HC-MC-240a.1a,Ratio
133658,HC-MC-240a.2a,,HC,HC-MC,HC-MC-240a,HC-MC-240a.2,Quantitative,Reporting currency,HC-MC-240a.2a,Reporting currency
133659,HC-MC-240a.3a,,HC,HC-MC,HC-MC-240a,HC-MC-240a.3,Quantitative,Percentage (%),HC-MC-240a.3a,Percentage (%) of proposed rate  increases
133660,HC-MC-250a.1a,,HC,HC-MC,HC-MC-250a,HC-MC-250a.1,Quantitative,Number,HC-MC-250a.1a,Number
133661,HC-MC-250a.1b,,HC,HC-MC,HC-MC-250a,HC-MC-250a.1,Quantitative,Number,HC-MC-250a.1b,Number
133662,HC-MC-250a.1c,,HC,HC-MC,HC-MC-250a,HC-MC-250a.1,Quantitative,Number,HC-MC-250a.1c,Mean Medicare Advantage plan rating
133663,HC-MC-250a.1d,,HC,HC-MC,HC-MC-250a,HC-MC-250a.1,Quantitative,Number,HC-MC-250a.1d,Mean Medicare Advantage plan rating
133664,HC-MC-250a.1e,,HC,HC-MC,HC-MC-250a,HC-MC-250a.1,Quantitative,Number,HC-MC-250a.1e,Mean Medicare Advantage plan rating
133665,HC-MC-250a.2a,,HC,HC-MC,HC-MC-250a,HC-MC-250a.2,Quantitative,Rate,HC-MC-250a.2a,Retention rate
133666,HC-MC-250a.2b,,HC,HC-MC,HC-MC-250a,HC-MC-250a.2,Quantitative,Rate,HC-MC-250a.2b,Retention rate
133667,HC-MC-250a.2c,,HC,HC-MC,HC-MC-250a,HC-MC-250a.2,Quantitative,Rate,HC-MC-250a.2c,Retention rate
133668,HC-MC-250a.2d,,HC,HC-MC,HC-MC-250a,HC-MC-250a.2,Quantitative,Rate,HC-MC-250a.2d,Retention rate
133669,HC-MC-250a.2e,,HC,HC-MC,HC-MC-250a,HC-MC-250a.2,Quantitative,Rate,HC-MC-250a.2e,Retention rate
133670,HC-MC-250a.3a,,HC,HC-MC,HC-MC-250a,HC-MC-250a.3,Quantitative,Percentage (%),HC-MC-250a.3a,Percentage (%)
133671,HC-MC-250a.4a,,HC,HC-MC,HC-MC-250a,HC-MC-250a.4,Quantitative,Rate,HC-MC-250a.4a,Rate
133672,HC-MC-260a.1a,,HC,HC-MC,HC-MC-260a,HC-MC-260a.1,Quantitative,Percentage (%),HC-MC-260a.1a,Percentage (%)
133673,HC-MC-260a.1b,,HC,HC-MC,HC-MC-260a,HC-MC-260a.1,Quantitative,Percentage (%),HC-MC-260a.1b,Percentage (%)
133674,HC-MC-260a.1c,,HC,HC-MC,HC-MC-260a,HC-MC-260a.1,Quantitative,Percentage (%),HC-MC-260a.1c,Percentage (%)
133675,HC-MC-260a.1d,,HC,HC-MC,HC-MC-260a,HC-MC-260a.1,Quantitative,Percentage (%),HC-MC-260a.1d,Percentage (%)
133676,HC-MC-260a.1e,,HC,HC-MC,HC-MC-260a,HC-MC-260a.1,Quantitative,Percentage (%),HC-MC-260a.1e,Percentage (%)
133677,HC-MC-260a.1f,,HC,HC-MC,HC-MC-260a,HC-MC-260a.1,Quantitative,Percentage (%),HC-MC-260a.1f,Percentage (%)
133678,HC-MC-260a.2a,,HC,HC-MC,HC-MC-260a,HC-MC-260a.2,Quantitative,"Reporting currency, Percentage (%)",HC-MC-260a.2a,Reporting currency
133679,HC-MC-260a.2b,,HC,HC-MC,HC-MC-260a,HC-MC-260a.2,Quantitative,"Reporting currency, Percentage (%)",HC-MC-260a.2b,Reporting currency
133680,HC-MC-260a.2c,,HC,HC-MC,HC-MC-260a,HC-MC-260a.2,Quantitative,"Reporting currency, Percentage (%)",HC-MC-260a.2c,Percentage (%)
133681,HC-MC-260a.3a,,HC,HC-MC,HC-MC-260a,HC-MC-260a.3,Quantitative,Number,HC-MC-260a.3a,Number
133682,HC-MC-450a.1a,,HC,HC-MC,HC-MC-450a,HC-MC-450a.1,Discussion and Analysis,,HC-MC-450a.1a,
138006,TR-MT-000.Aa,,TR,TR-MT,TR-MT-000.A,,Quantitative,Number,TR-MT-000.Aa,Number
138007,TR-MT-000.Ba,,TR,TR-MT,TR-MT-000.B,,Quantitative,Nautical miles (nm),TR-MT-000.Ba,Nautical miles (nm)
138008,TR-MT-000.Ca,,TR,TR-MT,TR-MT-000.C,,Quantitative,Days,TR-MT-000.Ca,Days
138009,TR-MT-000.Da,,TR,TR-MT,TR-MT-000.D,,Quantitative,Thousand deadweight tons,TR-MT-000.Da,Thousands of deadweight tons
138010,TR-MT-000.Ea,,TR,TR-MT,TR-MT-000.E,,Quantitative,Number,TR-MT-000.Ea,Number
138011,TR-MT-000.Fa,,TR,TR-MT,TR-MT-000.F,,Quantitative,Number,TR-MT-000.Fa,Number
138012,TR-MT-000.Ga,,TR,TR-MT,TR-MT-000.G,,Quantitative,TEU,TR-MT-000.Ga,TEU
138013,TR-MT-110a.1a,,TR,TR-MT,TR-MT-110a,TR-MT-110a.1,Quantitative,Metric tons (t) CO₂-e,TR-MT-110a.1a,Metric tons (t) CO₂-e
138014,TR-MT-110a.2a,,TR,TR-MT,TR-MT-110a,TR-MT-110a.2,Discussion and Analysis,,TR-MT-110a.2a,
138015,TR-MT-110a.3a,,TR,TR-MT,TR-MT-110a,TR-MT-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-MT-110a.3a,Gigajoules (GJ)
138016,TR-MT-110a.3b,,TR,TR-MT,TR-MT-110a,TR-MT-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-MT-110a.3b,Percentage (%)
138017,TR-MT-110a.3c,,TR,TR-MT,TR-MT-110a,TR-MT-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-MT-110a.3c,Percentage (%)
138018,TR-MT-110a.4a,,TR,TR-MT,TR-MT-110a,TR-MT-110a.4,Quantitative,Grams of CO₂ per ton-nautical mile,TR-MT-110a.4a,Grams of CO₂ per ton-nautical mile
138019,TR-MT-120a.1a,,TR,TR-MT,TR-MT-120a,TR-MT-120a.1,Quantitative,Metric tons (t),TR-MT-120a.1a,Metric tons (t)
138020,TR-MT-120a.1b,,TR,TR-MT,TR-MT-120a,TR-MT-120a.1,Quantitative,Metric tons (t),TR-MT-120a.1b,Metric tons (t)
138021,TR-MT-120a.1c,,TR,TR-MT,TR-MT-120a,TR-MT-120a.1,Quantitative,Metric tons (t),TR-MT-120a.1c,Metric tons (t)
138022,TR-MT-160a.1a,,TR,TR-MT,TR-MT-160a,TR-MT-160a.1,Quantitative,Number of travel days,TR-MT-160a.1a,Number of travel days
138023,TR-MT-160a.2a,,TR,TR-MT,TR-MT-160a,TR-MT-160a.2,Quantitative,Percentage (%),TR-MT-160a.2a,Percentage (%)
138024,TR-MT-160a.2b,,TR,TR-MT,TR-MT-160a,TR-MT-160a.2,Quantitative,Percentage (%),TR-MT-160a.2b,Percentage (%)
