,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
2207,SV-AD-330a.1y,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1y,Percentage (%)
2208,SV-AD-330a.1z,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1z,Percentage (%)
4880,RT-AE-000.Aa,,RT,RT-AE,RT-AE-000.A,,Quantitative,Number,RT-AE-000.Aa,Number
4881,RT-AE-000.Ba,,RT,RT-AE,RT-AE-000.B,,Quantitative,Number,RT-AE-000.Ba,Number
4882,RT-AE-130a.1a,,RT,RT-AE,RT-AE-130a,RT-AE-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-AE-130a.1a,Gigajoules (GJ)
4883,RT-AE-130a.1b,,RT,RT-AE,RT-AE-130a,RT-AE-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-AE-130a.1b,Percentage (%)
4884,RT-AE-130a.1c,,RT,RT-AE,RT-AE-130a,RT-AE-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-AE-130a.1c,Percentage (%)
4885,RT-AE-150a.1a,,RT,RT-AE,RT-AE-150a,RT-AE-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-AE-150a.1a,Metric tons (t)
4886,RT-AE-150a.1b,,RT,RT-AE,RT-AE-150a,RT-AE-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-AE-150a.1b,Percentage (%)
4887,RT-AE-150a.1c,,RT,RT-AE,RT-AE-150a,RT-AE-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-AE-150a.1c,
4888,RT-AE-150a.2a,,RT,RT-AE,RT-AE-150a,RT-AE-150a.2,Quantitative,"Number, Kilograms (kg)",RT-AE-150a.2a,Number
4889,RT-AE-150a.2b,,RT,RT-AE,RT-AE-150a,RT-AE-150a.2,Quantitative,"Number, Kilograms (kg)",RT-AE-150a.2b,Kilograms (kg)
4890,RT-AE-150a.2c,,RT,RT-AE,RT-AE-150a,RT-AE-150a.2,Quantitative,"Number, Kilograms (kg)",RT-AE-150a.2c,Percentage (%)
4891,RT-AE-230a.1a,,RT,RT-AE,RT-AE-230a,RT-AE-230a.1,Quantitative,"Number, Percentage (%)",RT-AE-230a.1a,Number
4892,RT-AE-230a.1b,,RT,RT-AE,RT-AE-230a,RT-AE-230a.1,Quantitative,"Number, Percentage (%)",RT-AE-230a.1b,Percentage (%)
4893,RT-AE-230a.1c,,RT,RT-AE,RT-AE-230a,RT-AE-230a.1,Quantitative,"Number, Percentage (%)",RT-AE-230a.1c,
4894,RT-AE-230a.2a,,RT,RT-AE,RT-AE-230a,RT-AE-230a.2,Discussion and Analysis,,RT-AE-230a.2a,
4895,RT-AE-250a.1a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.1,Quantitative,Number,RT-AE-250a.1a,Number
4896,RT-AE-250a.1b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.1,Quantitative,Number,RT-AE-250a.1b,Number
