ISICsection_label,ISICdivision_label
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"
Information and communication,Publishing activities
Manufacturing,Manufacture of other non-metallic mineral products
Mining and quarrying,Extraction of crude petroleum and natural gas
Mining and quarrying,Mining of metal ores
