ISICsection_label,ISICdivision_label,ISICgroup_label,ISICdescription
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution"
Information and communication,Publishing activities,Software publishing,Software publishing
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,"Manufacture of cement, lime and plaster"
Mining and quarrying,Extraction of crude petroleum and natural gas,Extraction of crude petroleum,Extraction of crude petroleum
Mining and quarrying,Mining of metal ores,Mining of iron ores,Mining of iron ores
